Collection ID;Collection Name;Collection Description;Style Name;Gender;Style Key;Style Description;Prompt;Preview Image;Variations
paint-magic;Collection Paint Magic;Tous les styles de peinture ,des couleurs éclatantes et des motifs uniques;Symbolisme;g;symbolism;Style symboliste avec formes mystérieuses;Transform this portrait into a symbolist painting filled with mysterious forms and mythological references.;https://leeveostockage.s3.eu-west-3.amazonaws.com/style/symbolism.jpg;1
paint-magic;Collection Paint Magic;Tous les styles de peinture ,des couleurs éclatantes et des motifs uniques;Gothique;g;gothic;Style gothique avec tons sombres;Transform this portrait into a gothic-style painting with dark tones, rich ornamentation, and medieval elements.;https://leeveostockage.s3.eu-west-3.amazonaws.com/style/gothic.jpg;1
paint-magic;Collection Paint Magic;Tous les styles de peinture ,des couleurs éclatantes et des motifs uniques;Art Naïf;g;naive_art;Style naïf avec perspective plate;Transform this portrait into a naive art painting with flat perspective, vivid colors, and childlike charm.;https://leeveostockage.s3.eu-west-3.amazonaws.com/style/naive_art.jpg;1
paint-magic;Collection Paint Magic;Tous les styles de peinture ,des couleurs éclatantes et des motifs uniques;Art Nouveau;g;art_nouveau;Style Art Nouveau avec lignes élégantes;Transform this portrait into an art nouveau painting with elegant lines, floral patterns, and graceful curves.;https://leeveostockage.s3.eu-west-3.amazonaws.com/style/art_nouveau.jpg;1
paint-magic;Collection Paint Magic;Tous les styles de peinture ,des couleurs éclatantes et des motifs uniques;Réalisme;g;realism;Style réaliste avec détails minutieux;Transform this portrait into a realist painting with meticulous attention to detail and natural lighting.;https://leeveostockage.s3.eu-west-3.amazonaws.com/style/realism.jpg;1
paint-magic;Collection Paint Magic;Tous les styles de peinture ,des couleurs éclatantes et des motifs uniques;Art Glitch;g;glitch_art;Style glitch art numérique;Transform this portrait into a digital glitch art style painting, blending classical form with pixelated distortion.;https://leeveostockage.s3.eu-west-3.amazonaws.com/style/glitch_art.jpg;1
paint-magic;Collection Paint Magic;Tous les styles de peinture ,des couleurs éclatantes et des motifs uniques;Fresque;g;fresco;Style fresque avec tons terreux;Transform this portrait into a fresco-style painting with muted earth tones and a weathered texture like old murals.;https://leeveostockage.s3.eu-west-3.amazonaws.com/style/fresco.jpg;1
paint-magic;Collection Paint Magic;Tous les styles de peinture ,des couleurs éclatantes et des motifs uniques;Art Déco;g;art_deco;Style Art Déco avec symétrie géométrique;Transform this portrait into a deco-style painting with geometric symmetry, clean lines, and metallic accents.;https://leeveostockage.s3.eu-west-3.amazonaws.com/style/art_deco.jpg;1
paint-magic;Collection Paint Magic;Tous les styles de peinture ,des couleurs éclatantes et des motifs uniques;Tachisme;g;tachisme;Style tachisme avec coups de pinceau spontanés;Transform this portrait into a tachisme (European abstract) painting with spontaneous brushwork and color stains.;https://leeveostockage.s3.eu-west-3.amazonaws.com/style/tachisme.jpg;1
paint-magic;Collection Paint Magic;Tous les styles de peinture ,des couleurs éclatantes et des motifs uniques;Street Art;g;street_art;Style Street Art contemporain;Transform this portrait into a contemporary street art painting, combining graffiti textures with vibrant spray-paint effects.;https://leeveostockage.s3.eu-west-3.amazonaws.com/style/street_art.jpg;1
photo_lut_filters;Filtres LUT et effets photo;Collection de filtres photographiques et LUT pour embellir les images;LUT Lumière Naturelle;;lut_natural_light;Rehausse la luminosité et le contraste avec des tons naturels et équilibrés;Enhance the image with a natural light LUT. Boost midtones, balance highlights and shadows, and apply soft contrast with realistic warmth. Preserve true-to-life skin tones and ambient softness.;https://leeveostockage.s3.eu-west-3.amazonaws.com/style/lut_natural_light.jpg;
photo_lut_filters;Filtres LUT et effets photo;Collection de filtres photographiques et LUT pour embellir les images;LUT Teal & Orange;;lut_teal_orange;Ajoute un contraste cinématique entre les ombres bleu-vert et les tons chauds de la peau;Apply a cinematic teal and orange LUT. Cool down shadows with teal tones, enhance skin tones with warm orange highlights, and add punchy contrast. Ideal for dramatic and polished visuals.;https://leeveostockage.s3.eu-west-3.amazonaws.com/style/lut_teal_orange.jpg;
photo_lut_filters;Filtres LUT et effets photo;Collection de filtres photographiques et LUT pour embellir les images;LUT Douceur Pastel;;lut_pastel_soft;Adoucit l'image avec des tons pastels et un contraste réduit pour un rendu poétique;Use a pastel soft LUT to reduce harsh contrast and infuse the image with light, airy colors. Apply low saturation and soft highlights for a gentle, dreamy mood.;https://leeveostockage.s3.eu-west-3.amazonaws.com/style/lut_pastel_soft.jpg;
photo_lut_filters;Filtres LUT et effets photo;Collection de filtres photographiques et LUT pour embellir les images;LUT Contraste Profond;;lut_deep_contrast;Renforce les ombres et la profondeur des couleurs pour un rendu intense;Enhance the image with a deep contrast LUT. Darken shadows, boost color saturation, and add richness to tones. Preserve details in highlights and midtones for a dramatic effect.;https://leeveostockage.s3.eu-west-3.amazonaws.com/style/lut_deep_contrast.jpg;
photo_lut_filters;Filtres LUT et effets photo;Collection de filtres photographiques et LUT pour embellir les images;LUT Golden Glow;;lut_golden_glow;Simule une lumière dorée du soir avec un éclat chaleureux;Apply a golden hour LUT to create a soft warm glow. Enhance highlights with golden tones, soften edges with light haze, and evoke the warm ambiance of sunset lighting.;https://leeveostockage.s3.eu-west-3.amazonaws.com/style/lut_golden_glow.jpg;
photo_lut_filters;Filtres LUT et effets photo;Collection de filtres photographiques et LUT pour embellir les images;LUT Cinéma Mat;;lut_cinema_matte;Donne un look cinéma avec tons mats et profondeur des couleurs;Use a cinematic matte LUT. Flatten highlights slightly, deepen blacks, and apply desaturated color tones for a moody, filmic style. Ideal for cinematic storytelling.;https://leeveostockage.s3.eu-west-3.amazonaws.com/style/lut_cinema_matte.jpg;
photo_lut_filters;Filtres LUT et effets photo;Collection de filtres photographiques et LUT pour embellir les images;LUT Haute Définition;;lut_high_def;Améliore la netteté, la texture et les micro-détails;Apply a high-definition LUT that enhances clarity and detail. Accentuate micro-textures in skin and fabric, add controlled sharpening and subtle contrast to bring out structure.;https://leeveostockage.s3.eu-west-3.amazonaws.com/style/lut_high_def.jpg;
photo_lut_filters;Filtres LUT et effets photo;Collection de filtres photographiques et LUT pour embellir les images;LUT Contraste Doux;;lut_soft_contrast;Réduit le contraste pour un rendu plus doux et naturel;Apply a soft contrast LUT. Lighten shadows slightly and reduce highlight intensity. Maintain natural skin tones and a balanced, gentle visual flow throughout the image.;https://leeveostockage.s3.eu-west-3.amazonaws.com/style/lut_soft_contrast.jpg;
photo_lut_filters;Filtres LUT et effets photo;Collection de filtres photographiques et LUT pour embellir les images;LUT Mode Editorial;;lut_editorial;Apporte une finition haut de gamme type magazine;Use an editorial-style LUT to simulate fashion photography lighting. Emphasize facial contours, boost cool highlights, and subtly desaturate background tones for a premium look.;https://leeveostockage.s3.eu-west-3.amazonaws.com/style/lut_editorial.jpg;
photo_lut_filters;Filtres LUT et effets photo;Collection de filtres photographiques et LUT pour embellir les images;LUT Film Retro;;lut_film_retro;Ajoute une ambiance rétro façon film des années 70;Apply a retro film LUT inspired by 1970s cinema. Use faded highlights, warm yellow-green tones, and mild grain for a nostalgic, vintage movie aesthetic.;https://leeveostockage.s3.eu-west-3.amazonaws.com/style/lut_film_retro.jpg;
photo_lut_filters;Filtres LUT et effets photo;Collection de filtres photographiques et LUT pour embellir les images;LUT Ambiance Nocturne;;lut_night_ambience;Renforce les bleus et violets pour un rendu nocturne cinématographique;Apply a cinematic midnight ambience LUT with clear blues and purples. Enhance middle-light mood, reduce saturation slightly, and create a cool mysterious tone throughout the image.;https://leeveostockage.s3.eu-west-3.amazonaws.com/style/lut_night_ambience.jpg;
photo_lut_filters;Filtres LUT et effets photo;Collection de filtres photographiques et LUT pour embellir les images;LUT Portrait Satiné;;lut_portrait_satin;Adoucit la peau et ajoute une finition satinée haut de gamme;Apply a satin portrait LUT that smooths skin tones, reduces red hues, and adds subtle shine. Emphasize facial symmetry and soften highlights for a glossy magazine look.;https://leeveostockage.s3.eu-west-3.amazonaws.com/style/lut_portrait_satin.jpg;
photo_lut_filters;Filtres LUT et effets photo;Collection de filtres photographiques et LUT pour embellir les images;LUT Urbain Contrasté;;lut_urban_contrast;Contraste élevé pour un look urbain dynamique;Use an urban contrast LUT to intensify city tones. Boost blacks, sharpen details, and add slight cyan-magenta tint to bring an energetic modern edge to architecture and street portraits.;https://leeveostockage.s3.eu-west-3.amazonaws.com/style/lut_urban_contrast.jpg;
photo_lut_filters;Filtres LUT et effets photo;Collection de filtres photographiques et LUT pour embellir les images;LUT Cinéma Froid;;lut_cinema_cool;Tons froids désaturés pour une ambiance dramatique;Apply a cool cinematic LUT with desaturated blue-grey tones. Create a serious, moody effect with softened contrast and subdued highlights, ideal for dramatic visual storytelling.;https://leeveostockage.s3.eu-west-3.amazonaws.com/style/lut_cinema_cool.jpg;
photo_lut_filters;Filtres LUT et effets photo;Collection de filtres photographiques et LUT pour embellir les images;LUT Soleil Voilé;;lut_cloudy_warm;Effet de lumière douce par temps couvert avec chaleur diffuse;Use a cloudy sunlight LUT that adds a soft warm glow with gentle haze. Midtones are slightly lifted, and the color palette shifts toward beige and pale amber for an overcast but cozy atmosphere.;https://leeveostockage.s3.eu-west-3.amazonaws.com/style/lut_cloudy_warm.jpg;
photo_lut_filters;Filtres LUT et effets photo;Collection de filtres photographiques et LUT pour embellir les images;LUT Détail HDR Léger;;lut_light_hdr;Amélioration subtile du HDR avec conservation du naturel;Apply a soft HDR LUT to increase dynamic range without overprocessing. Brighten shadows, recover details in highlights, and balance tone curves for crisp yet natural clarity.;https://leeveostockage.s3.eu-west-3.amazonaws.com/style/lut_light_hdr.jpg;
photo_lut_filters;Filtres LUT et effets photo;Collection de filtres photographiques et LUT pour embellir les images;LUT Bronze & Cuivre;;lut_bronze_copper;Ajoute des reflets bronze et cuivrés pour un look luxueux;Use a bronze and copper LUT to give the image a rich metallic tint. Enhance golden undertones and create warm, radiant glow in hair and skin with smooth highlight blending.;https://leeveostockage.s3.eu-west-3.amazonaws.com/style/lut_bronze_copper.jpg;
photo_lut_filters;Filtres LUT et effets photo;Collection de filtres photographiques et LUT pour embellir les images;LUT Épuré & Blanc;;lut_clean_white;Blancs purs, lumières propres pour un look épuré et minimaliste;Apply a clean white LUT that lifts whites, softens shadows, and creates a bright minimalist aesthetic. Perfect for editorial, fashion, or lifestyle visuals with high key lighting.;https://leeveostockage.s3.eu-west-3.amazonaws.com/style/lut_clean_white.jpg;
photo_lut_filters;Filtres LUT et effets photo;Collection de filtres photographiques et LUT pour embellir les images;LUT Automne Chaud;;lut_warm_autumn;Rehausse les tons orangés, bruns et rouges pour un style automnal chaleureux;Use a warm autumn LUT that enhances orange, brown, and deep red tones. Slightly matted highlights and gentle shadow roll-off create a cozy seasonal feeling with a cinematic twist.;https://leeveostockage.s3.eu-west-3.amazonaws.com/style/lut_warm_autumn.jpg;
photo_lut_filters;Filtres LUT et effets photo;Collection de filtres photographiques et LUT pour embellir les images;LUT Froid Urbain;;lut_cool_urban;Ajoute une teinte bleutée urbaine avec contraste subtil;Apply a cool urban LUT with slight blue tints and reduced saturation. Emphasize steel, asphalt, and glass textures for a modern city vibe.;https://leeveostockage.s3.eu-west-3.amazonaws.com/style/lut_cool_urban.jpg;
photo_lut_filters;Filtres LUT et effets photo;Collection de filtres photographiques et LUT pour embellir les images;LUT Mat Poussiéreux;;lut_dusty_matte;Look délavé avec tons terreux et texture douce;Use a dusty matte LUT with beige, brown, and olive tones. Lower contrast and soften shadows for a worn, cinematic look.;https://leeveostockage.s3.eu-west-3.amazonaws.com/style/lut_dusty_matte.jpg;
photo_lut_filters;Filtres LUT et effets photo;Collection de filtres photographiques et LUT pour embellir les images;LUT Contrast Clair-Obscur;;lut_chiaroscuro;Inspiré du clair-obscur avec contrastes puissants et lumière directionnelle;Simulate chiaroscuro lighting with a LUT that enhances directional shadows and dramatic light. Deep blacks and high contrast evoke classical portraiture.;https://leeveostockage.s3.eu-west-3.amazonaws.com/style/lut_chiaroscuro.jpg;
photo_lut_filters;Filtres LUT et effets photo;Collection de filtres photographiques et LUT pour embellir les images;LUT Jaune Poussière;;lut_dusty_yellow;Filtre vintage avec dominante jaune et tons ocres;Apply a dusty yellow LUT for a retro vibe. Warm up highlights with ochre tones and give the image a soft antique glow.;https://leeveostockage.s3.eu-west-3.amazonaws.com/style/lut_dusty_yellow.jpg;
photo_lut_filters;Filtres LUT et effets photo;Collection de filtres photographiques et LUT pour embellir les images;LUT Bleu Givré;;lut_frosted_blue;Look froid et givré avec bleus désaturés et ambiance polaire;Use a frosted blue LUT that desaturates warm tones and amplifies cold hues. Ideal for wintry scenes and clinical, moody portraits.;https://leeveostockage.s3.eu-west-3.amazonaws.com/style/lut_frosted_blue.jpg;
photo_lut_filters;Filtres LUT et effets photo;Collection de filtres photographiques et LUT pour embellir les images;LUT Jaune Cinématographique;;lut_cinema_yellow;Lumière dorée intense et profondeur visuelle;Apply a cinematic yellow LUT that floods the scene with golden warmth and subtle haze. Ideal for nostalgic or summery cinematic shots.;https://leeveostockage.s3.eu-west-3.amazonaws.com/style/lut_cinema_yellow.jpg;
photo_lut_filters;Filtres LUT et effets photo;Collection de filtres photographiques et LUT pour embellir les images;LUT Couleur Laiton;;lut_brass_tone;Tons métalliques chauds pour un effet brumeux et vintage;Use a brass tone LUT that mixes bronze, gold, and sepia hues. Add mild blur and haze to evoke a luxurious antique photo aesthetic.;https://leeveostockage.s3.eu-west-3.amazonaws.com/style/lut_brass_tone.jpg;
photo_lut_filters;Filtres LUT et effets photo;Collection de filtres photographiques et LUT pour embellir les images;LUT Jungle Émeraude;;lut_emerald_jungle;Accentue les verts profonds et les contrastes tropicaux;Apply an emerald jungle LUT with rich green tones and shadow depth. Perfect for foliage, forests, or nature shots.;https://leeveostockage.s3.eu-west-3.amazonaws.com/style/lut_emerald_jungle.jpg;
photo_lut_filters;Filtres LUT et effets photo;Collection de filtres photographiques et LUT pour embellir les images;LUT Soleil Californien;;lut_california_sun;Effet lumineux et ensoleillé avec tons orange doux;Use a California sun LUT with soft warm saturation and beach-toned highlights. Creates a relaxed, luminous summer atmosphere.;https://leeveostockage.s3.eu-west-3.amazonaws.com/style/lut_california_sun.jpg;
photo_lut_filters;Filtres LUT et effets photo;Collection de filtres photographiques et LUT pour embellir les images;LUT Douceur Laitonnée;;lut_milky_soft;Blancs crémeux et ambiance feutrée pastel;Apply a milky soft LUT with creamy whites and pastel color fade. Low contrast and gentle color transitions ideal for delicate portraiture.;https://leeveostockage.s3.eu-west-3.amazonaws.com/style/lut_milky_soft.jpg;
photo_lut_filters;Filtres LUT et effets photo;Collection de filtres photographiques et LUT pour embellir les images;LUT Rose Chaud Editorial;;lut_warm_rose;Contraste rosé avec chaleur et rendu de mode;Use a warm rose LUT to enhance skin tones and blush-like warmth. Ideal for beauty shots, with soft focus and a romantic feel.;https://leeveostockage.s3.eu-west-3.amazonaws.com/style/lut_warm_rose.jpg;
photo_lut_filters;Filtres LUT et effets photo;Collection de filtres photographiques et LUT pour embellir les images;LUT Clair Coton;;lut_cotton_clear;Couleurs douces et propre clarté visuelle;Apply a cotton-clear LUT that lifts whites, adds gentle blue tints, and simplifies tones for a clean, modern visual finish.;https://leeveostockage.s3.eu-west-3.amazonaws.com/style/lut_cotton_clear.jpg;
photo_lut_filters;Filtres LUT et effets photo;Collection de filtres photographiques et LUT pour embellir les images;LUT Contour Mode;;lut_fashion_contour;Accentue les contours et volumes pour effet éditorial;Use a fashion contour LUT to define face and body edges. Boost micro-contrast and add cool color shifts for a high-end editorial finish.;https://leeveostockage.s3.eu-west-3.amazonaws.com/style/lut_fashion_contour.jpg;
photo_lut_filters;Filtres LUT et effets photo;Collection de filtres photographiques et LUT pour embellir les images;LUT Désert Chaud;;lut_hot_desert;Rendu aride et lumineux avec saturation chaude;Apply a hot desert LUT with bright oranges, warm sands, and strong light flares. Ideal for outdoor shots in sunny dry environments.;https://leeveostockage.s3.eu-west-3.amazonaws.com/style/lut_hot_desert.jpg;
photo_lut_filters;Filtres LUT et effets photo;Collection de filtres photographiques et LUT pour embellir les images;LUT Métal Froid;;lut_cold_metal;Finition métallique bleutée pour un style high-tech;Use a cold metal LUT with blue-steel highlights and reflective tonal balance. Great for tech or fashion with a futuristic look.;https://leeveostockage.s3.eu-west-3.amazonaws.com/style/lut_cold_metal.jpg;
photo_lut_filters;Filtres LUT et effets photo;Collection de filtres photographiques et LUT pour embellir les images;LUT Perle Rosée;;lut_rose_pearl;Reflets nacrés et tons rosés doux;Use a rose pearl LUT that creates subtle opalescent highlights with soft pink reflection. Great for dreamy editorial beauty shots.;https://leeveostockage.s3.eu-west-3.amazonaws.com/style/lut_rose_pearl.jpg;
photo_lut_filters;Filtres LUT et effets photo;Collection de filtres photographiques et LUT pour embellir les images;LUT Aubergine Crépusculaire;;lut_twilight_eggplant;Tons sombres violets et ambiance crépusculaire;Apply a twilight eggplant LUT with moody purples and cool dusk shadows. Excellent for emotive, artistic portraits during low light.;https://leeveostockage.s3.eu-west-3.amazonaws.com/style/lut_twilight_eggplant.jpg;
photo_lut_filters;Filtres LUT et effets photo;Collection de filtres photographiques et LUT pour embellir les images;LUT Lumière Blanche Propre;;lut_clean_light;Lumière blanche pure et contours nets;Use a clean light LUT with white-balanced lighting and crisp edge enhancement. Maintain clarity and luminosity with minimal color distortion.;https://leeveostockage.s3.eu-west-3.amazonaws.com/style/lut_clean_light.jpg;
sciencefiction;Collection Science Fiction;Styles futuristes et de science-fiction;Capitaine de Vaisseau;g;starship_captain;Style capitaine avec uniforme futuriste;Transform this portrait into a starship captain with a sleek uniform, a glowing HUD interface, and a galaxy behind them.;https://leeveostockage.s3.eu-west-3.amazonaws.com/style/starship_captain.jpg;1
sciencefiction;Collection Science Fiction;Styles futuristes et de science-fiction;Chasseur de Primes Spatial;g;space_bounty_hunter;Style chasseur de primes avec casque et arme;Transform this portrait into a space bounty hunter with a helmet, energy rifle, and a neon-lit spaceport.;https://leeveostockage.s3.eu-west-3.amazonaws.com/style/space_bounty_hunter.jpg;1
sciencefiction;Collection Science Fiction;Styles futuristes et de science-fiction;Diplomate Alien;g;alien_diplomat;Style diplomate alien avec peau bioluminescente;Transform this portrait into an alien diplomat with bioluminescent skin, elegant attire, and a star council setting.;https://leeveostockage.s3.eu-west-3.amazonaws.com/style/alien_diplomat.jpg;1
sciencefiction;Collection Science Fiction;Styles futuristes et de science-fiction;Soldat Cybernétique;g;cybernetic_soldier;Style soldat avec améliorations cybernétiques;Transform this portrait into a cybernetically enhanced soldier with robotic limbs and a gritty war-torn background.;https://leeveostockage.s3.eu-west-3.amazonaws.com/style/cybernetic_soldier.jpg;1
sciencefiction;Collection Science Fiction;Styles futuristes et de science-fiction;Contrebandier Spatial;g;sci_fi_smuggler;Style contrebandier avec veste en cuir;Transform this portrait into a sci-fi smuggler with a leather jacket, goggles, and a junker spaceship docked nearby.;https://leeveostockage.s3.eu-west-3.amazonaws.com/style/sci_fi_smuggler.jpg;1
sciencefiction;Collection Science Fiction;Styles futuristes et de science-fiction;Hacker Rebelle;g;rebel_hacker;Style hacker entouré de code et hologrammes;Transform this portrait into a rebel hacker from a galactic resistance, surrounded by code and holograms.;https://leeveostockage.s3.eu-west-3.amazonaws.com/style/rebel_hacker.jpg;1
sciencefiction;Collection Science Fiction;Styles futuristes et de science-fiction;Humanoïde IA;g;ai_humanoid;Style androïde synthétique avec design chromé;Transform this portrait into a synthetic AI humanoid with a sleek chrome design, glowing eyes, and a sterile lab.;https://leeveostockage.s3.eu-west-3.amazonaws.com/style/ai_humanoid.jpg;1
sciencefiction;Collection Science Fiction;Styles futuristes et de science-fiction;Oracle Stellaire;g;star_oracle;Style oracle avec robes célestes;Transform this portrait into a star priest or oracle with celestial robes and star maps floating in the air.;https://leeveostockage.s3.eu-west-3.amazonaws.com/style/star_oracle.jpg;1
sciencefiction;Collection Science Fiction;Styles futuristes et de science-fiction;Guerrier Clone;g;clone_warrior;Style guerrier clone avec tatouage code-barres;Transform this portrait into a clone warrior with a barcode tattoo, identical armor, and a desaturated war zone.;https://leeveostockage.s3.eu-west-3.amazonaws.com/style/clone_warrior.jpg;1
sciencefiction;Collection Science Fiction;Styles futuristes et de science-fiction;Royauté Galactique;g;galaxy_royalty;Style royauté avec regalia futuriste;Transform this portrait into a galaxy royalty with futuristic regalia, glowing jewels, and a cosmic throne.;https://leeveostockage.s3.eu-west-3.amazonaws.com/style/galaxy_royalty.jpg;1
sciencefiction;Collection Science Fiction;Styles futuristes et de science-fiction;Pilote Spatial;g;space_pilot;Style pilote d'exploration avec interface digitale;Transform this portrait into a pilot from a deep space exploration crew, with a visor and digital interface overlay.;https://leeveostockage.s3.eu-west-3.amazonaws.com/style/space_pilot.jpg;1
sciencefiction;Collection Science Fiction;Styles futuristes et de science-fiction;Mineur Martien;g;martian_miner;Style mineur avec équipement poussiéreux;Transform this portrait into a Martian miner with dusty gear, red-soil stains, and industrial space tools.;https://leeveostockage.s3.eu-west-3.amazonaws.com/style/martian_miner.jpg;1
sciencefiction;Collection Science Fiction;Styles futuristes et de science-fiction;Biotechnologue;g;biotechnologist;Style biotechnologue d'une colonie de terraformation;Transform this portrait into a biotechnologist from a terraforming colony, holding strange alien plant life.;https://leeveostockage.s3.eu-west-3.amazonaws.com/style/biotechnologist.jpg;1
sciencefiction;Collection Science Fiction;Styles futuristes et de science-fiction;Survivant de Stase;g;stasis_survivor;Style survivant avec dommages de gel;Transform this portrait into a stasis survivor from a derelict ship, with frost damage and awakening lights.;https://leeveostockage.s3.eu-west-3.amazonaws.com/style/stasis_survivor.jpg;1
sciencefiction;Collection Science Fiction;Styles futuristes et de science-fiction;Hybride Alien;g;alien_hybrid;Style hybride avec traits non-humains subtils;Transform this portrait into an alien hybrid with subtle non-human features, neon tattoos, and planetary rings behind.;https://leeveostockage.s3.eu-west-3.amazonaws.com/style/alien_hybrid.jpg;1
sciencefiction;Collection Science Fiction;Styles futuristes et de science-fiction;Explorateur de Trou Noir;g;black_hole_explorer;Style explorateur avec combinaison fracturée;Transform this portrait into a black hole explorer with a fractured spacesuit, gravitic distortions, and eerie lighting.;https://leeveostockage.s3.eu-west-3.amazonaws.com/style/black_hole_explorer.jpg;1
sciencefiction;Collection Science Fiction;Styles futuristes et de science-fiction;Amiral de Flotte;g;fleet_admiral;Style amiral avec médailles ornées;Transform this portrait into a fleet admiral with ornate medals, holographic maps, and an interstellar command bridge.;https://leeveostockage.s3.eu-west-3.amazonaws.com/style/fleet_admiral.jpg;1
sciencefiction;Collection Science Fiction;Styles futuristes et de science-fiction;Voyageur Temporel;g;time_traveler;Style voyageur avec vêtements rétro-futuristes;Transform this portrait into a mysterious time-traveler with retro-futuristic clothes and a vortex behind.;https://leeveostockage.s3.eu-west-3.amazonaws.com/style/time_traveler.jpg;1
sciencefiction;Collection Science Fiction;Styles futuristes et de science-fiction;Leader de Rébellion Robot;g;robot_rebellion_leader;Style robot avec plaque métallique rayée;Transform this portrait into a robot rebellion leader with scratched metal plating, glowing red eyes, and smoke-filled background.;https://leeveostockage.s3.eu-west-3.amazonaws.com/style/robot_rebellion_leader.jpg;1
sciencefiction;Collection Science Fiction;Styles futuristes et de science-fiction;Mystique Spatial;g;deep_space_mystic;Style mystique avec peau étoilée;Transform this portrait into a deep space mystic with starry skin, floating relics, and a cosmic temple.;https://leeveostockage.s3.eu-west-3.amazonaws.com/style/deep_space_mystic.jpg;1
womens_hairstyles;Coupes de Cheveux Féminines;20 coupes de cheveux tendance pour femmes;Long straight;g;womens_long_straight;Long and straight hair;Make the hair in a long and straight hair style.;https://leeveostockage.s3.eu-west-3.amazonaws.com/style/womens_long_straight.jpg;1
