Collection ID;Collection Name;Collection Description;Style Name;Gender;Style Key;Style Description;Prompt;Preview Image;Variations;Type
womens_hairstyles;Coupes de Cheveux Féminines;20 coupes de cheveux tendance pour femmes;Kinky / Coily;femme;kinky_coily_hair_style;Cheveux crépus / très bouclés;While keeping the same face and same facial expression Make the hair in a Kinky / coily style;https://leeveostockage.s3.eu-west-3.amazonaws.com/style/kinky_coily_hair_style.jpg;1;cheveux longs
womens_hairstyles;Coupes de Cheveux Féminines;20 coupes de cheveux tendance pour femmes;Slicked Back;femme;slicked_back_hair_style;Cheveux plaqués en arrière;While keeping the same face and same facial expression Make the hair in a Slicked back style;https://leeveostockage.s3.eu-west-3.amazonaws.com/style/slicked_back_hair_style.jpg;1;cheveux longs
womens_hairstyles;Coupes de Cheveux Féminines;20 coupes de cheveux tendance pour femmes;Middle Part;femme;middle_part_hair_style;Raie au milieu;While keeping exactly the same face without any change and maintaining the same facial expression, transform the hairstyle into a middle part style, with the hair evenly divided down the center, creating perfect symmetry and a clean, balanced frame around the face.;https://leeveostockage.s3.eu-west-3.amazonaws.com/style/middle_part_hair_style.jpg;1;cheveux longs
womens_hairstyles;Coupes de Cheveux Féminines;20 coupes de cheveux tendance pour femmes;Side Part;femme;side_part_hair_style;Raie sur le côté;While keeping the same face and same facial expression Make the hair in a Side part style;https://leeveostockage.s3.eu-west-3.amazonaws.com/style/side_part_hair_style.jpg;1;cheveux longs
womens_hairstyles;Coupes de Cheveux Féminines;20 coupes de cheveux tendance pour femmes;Voluminous Hair;femme;voluminous_hair_style;Chevelure volumineuse;While keeping the same face and same facial expression Make the hair in a Voluminous hair style;https://leeveostockage.s3.eu-west-3.amazonaws.com/style/voluminous_hair_style.jpg;1;cheveux longs
womens_hairstyles;Coupes de Cheveux Féminines;20 coupes de cheveux tendance pour femmes;Bun;femme;bun_hair_style;Chignon;While keeping the same face and same facial expression Make the hair in a Bun style;https://leeveostockage.s3.eu-west-3.amazonaws.com/style/bun_hair_style.jpg;1;cheveux longs
womens_hairstyles;Coupes de Cheveux Féminines;20 coupes de cheveux tendance pour femmes;Low Bun;femme;low_bun_hair_style;Chignon bas;While keeping the same face and same facial expression Make the hair in a Low bun style;https://leeveostockage.s3.eu-west-3.amazonaws.com/style/low_bun_hair_style.jpg;1;cheveux longs
womens_hairstyles;Coupes de Cheveux Féminines;20 coupes de cheveux tendance pour femmes;Top Bun;femme;top_bun_hair_style;Chignon haut;While keeping the same face and same facial expression Make the hair in a Top bun style;https://leeveostockage.s3.eu-west-3.amazonaws.com/style/top_bun_hair_style.jpg;1;cheveux longs
womens_hairstyles;Coupes de Cheveux Féminines;20 coupes de cheveux tendance pour femmes;Ponytail;femme;ponytail_hair_style;Queue de cheval;While keeping the same face and same facial expression Make the hair in a Ponytail style;https://leeveostockage.s3.eu-west-3.amazonaws.com/style/ponytail_hair_style.jpg;1;cheveux longs
womens_hairstyles;Coupes de Cheveux Féminines;20 coupes de cheveux tendance pour femmes;Braid;femme;braid_hair_style;Tresse simple;While keeping the same face and same facial expression Make the hair in a Braid style;https://leeveostockage.s3.eu-west-3.amazonaws.com/style/braid_hair_style.jpg;1;cheveux longs
womens_hairstyles;Coupes de Cheveux Féminines;20 coupes de cheveux tendance pour femmes;Fishtail Braid;femme;fishtail_braid_hair_style;Tresse épi (fishtail);While keeping the same face and same facial expression Make the hair in a Fishtail braid style;https://leeveostockage.s3.eu-west-3.amazonaws.com/style/fishtail_braid_hair_style.jpg;1;cheveux longs
womens_hairstyles;Coupes de Cheveux Féminines;20 coupes de cheveux tendance pour femmes;Space Buns;femme;space_buns_hair_style;Deux chignons (space buns);While keeping the same face and same facial expression Make the hair in a Space buns style;https://leeveostockage.s3.eu-west-3.amazonaws.com/style/space_buns_hair_style.jpg;1;cheveux longs
womens_hairstyles;Coupes de Cheveux Féminines;20 coupes de cheveux tendance pour femmes;Messy Bun;femme;messy_bun_hair_style;Chignon flou, décoiffé;While keeping the same face and same facial expression Make the hair in a Messy bun style;https://leeveostockage.s3.eu-west-3.amazonaws.com/style/messy_bun_hair_style.jpg;1;cheveux longs
womens_hairstyles;Coupes de Cheveux Féminines;20 coupes de cheveux tendance pour femmes;Mullet;femme;mullet_hair_style;Mulet (court devant, long derrière);While keeping exactly the same face without any change and maintaining the same facial expression, transform the hairstyle into a mullet style, with the hair cut short at the front and sides while left significantly longer at the back, creating a bold, retro look that emphasizes contrast and attitude.;https://leeveostockage.s3.eu-west-3.amazonaws.com/style/mullet_hair_style.jpg;1;cheveux longs
womens_hairstyles;Coupes de Cheveux Féminines;20 coupes de cheveux tendance pour femmes;Tousled / Messy Look;femme;tousled_messy_hair_style;Effet coiffé-décoiffé;While keeping the same face and same facial expression Make the hair in a Tousled / messy look style;https://leeveostockage.s3.eu-west-3.amazonaws.com/style/tousled_messy_hair_style.jpg;1;cheveux longs
womens_hairstyles;Coupes de Cheveux Féminines;20 coupes de cheveux tendance pour femmes;High Ponytail;femme;high_ponytail_hair_style;Queue de cheval haute;While keeping the same face and same facial expression Make the hair in a High ponytail style;https://leeveostockage.s3.eu-west-3.amazonaws.com/style/high_ponytail_hair_style.jpg;1;cheveux longs
womens_hairstyles;Coupes de Cheveux Féminines;20 coupes de cheveux tendance pour femmes;Half Ponytail;femme;half_ponytail_hair_style;Demi-queue de cheval;While keeping the same face and same facial expression Make the hair in a Half ponytail style;https://leeveostockage.s3.eu-west-3.amazonaws.com/style/half_ponytail_hair_style.jpg;1;cheveux longs
womens_hairstyles;Coupes de Cheveux Féminines;20 coupes de cheveux tendance pour femmes;Twists;femme;twists_hair_style;Twists définis;While keeping exactly the same face without any change and maintaining the same facial expression, transform the hairstyle into a twists style, with sections of hair carefully divided and twisted into rope-like strands, creating a neat, defined, and protective look that adds texture and structure while framing the face naturally.;https://leeveostockage.s3.eu-west-3.amazonaws.com/style/twists_hair_style.jpg;1;cheveux longs
womens_hairstyles;Coupes de Cheveux Féminines;20 coupes de cheveux tendance pour femmes;Tied Hair;femme;tied_hair_style;Cheveux attachés;While keeping exactly the same face without any change and maintaining the same facial expression, transform the hairstyle into a tied hair style, with the hair neatly gathered and secured back, creating a clean, polished look that highlights the face and emphasizes its natural features.;https://leeveostockage.s3.eu-west-3.amazonaws.com/style/tied_hair_style.jpg;1;cheveux longs
womens_hairstyles;Coupes de Cheveux Féminines;20 coupes de cheveux tendance pour femmes;Iroquois / Punk;femme;iroquois_punk_hair_style;Coupe iroquois punk, cheveux rasés sur les côtés avec une crête centrale;While keeping the same face and the same facial expression, make the hair in an Iroquois / punk style, with the sides shaved and a bold spiky strip of hair running down the center of the head.;https://leeveostockage.s3.eu-west-3.amazonaws.com/style/iroquois_punk_hair_style.jpg;1;cheveux courts
womens_hairstyles;Coupes de Cheveux Féminines;20 coupes de cheveux tendance pour femmes;Mohawk with Colors;femme;mohawk_colors_hair_style;Coupe iroquois avec coloration vive;While keeping the same face and the same facial expression, make the hair in a mohawk punk style, with shaved sides and a tall spiky crest dyed in vibrant colors.;https://leeveostockage.s3.eu-west-3.amazonaws.com/style/mohawk_colors_hair_style.jpg;1;cheveux courts
womens_hairstyles;Coupes de Cheveux Féminines;20 coupes de cheveux tendance pour femmes;Loose Hair;femme;loose_hair_style;Cheveux lâchés;While keeping exactly the same face and the same facial expression, transform the hairstyle into a loose hair style, with the hair left free, flowing naturally around the shoulders for a soft and relaxed look.;https://leeveostockage.s3.eu-west-3.amazonaws.com/style/loose_hair_style.jpg;1;cheveux longs
mens_hairstyles;Coupes de Cheveux Masculines;20 coupes de cheveux tendance pour hommes;Buzz cut;homme;mens_buzz_cut;Coupe très courte à la tondeuse;While keeping exactly the same face without any change and maintaining the same facial expression, transform the hairstyle into an ultra short buzz cut style, with the hair clipped extremely close to the scalp in a uniform length, creating a sharp, minimalist look that fully emphasizes the natural shape of the head and facial features.;https://leeveostockage.s3.eu-west-3.amazonaws.com/style/mens_ultra_buzz_cut.jpg;1;cheveux courts
mens_hairstyles;Coupes de Cheveux Masculines;20 coupes de cheveux tendance pour hommes;Crew cut;homme;mens_crew_cut;Coupe classique avec côtés courts;While keeping exactly the same face without any change and maintaining the same facial expression, transform the hairstyle into a classic crew cut style with short sides, where the hair is cut very short on the sides and back while left slightly longer and neatly trimmed on top, creating a clean, sharp, and timeless look that emphasizes the facial features.;https://leeveostockage.s3.eu-west-3.amazonaws.com/style/mens_ultra_crew_cut.jpg;1;cheveux courts
mens_hairstyles;Coupes de Cheveux Masculines;20 coupes de cheveux tendance pour hommes;Fade cut;homme;mens_fade_cut;Fondu moderne avec contours nets;While keeping exactly the same face without any change and maintaining the same facial expression, transform the hairstyle into a modern fade with sharp edges style, where the hair gradually fades from very short on the sides and back to longer on top, combined with clean, precise lines and sharp edges around the hairline for a bold and well-defined look.;https://leeveostockage.s3.eu-west-3.amazonaws.com/style/mens_ultra_fade_cut.jpg;1;cheveux courts
mens_hairstyles;Coupes de Cheveux Masculines;20 coupes de cheveux tendance pour hommes;Pompadour;homme;mens_pompadour;Pompadour volumineux;While keeping exactly the same face without any change and maintaining the same facial expression, transform the hairstyle into a voluminous pompadour style, with the hair swept upward and backward from the forehead into a high, full shape that adds height and volume, creating a bold, elegant, and vintage-inspired look.;https://leeveostockage.s3.eu-west-3.amazonaws.com/style/mens_ultra_pompadour.jpg;1;cheveux courts
mens_hairstyles;Coupes de Cheveux Masculines;20 coupes de cheveux tendance pour hommes;Undercut;homme;mens_undercut;Undercut avec dessus long et côtés rasés;While keeping the same face and same facial expression Make the hair in a undercut with long top and shaved sides style.;https://leeveostockage.s3.eu-west-3.amazonaws.com/style/mens_ultra_undercut.jpg;1;cheveux longs
mens_hairstyles;Coupes de Cheveux Masculines;20 coupes de cheveux tendance pour hommes;Quiff;homme;mens_quiff;Banane stylisée avec du volume;While keeping exactly the same face without any change and maintaining the same facial expression, transform the hairstyle into a styled quiff with volume, where the hair at the front is lifted upward and swept back with fullness, creating height and texture, while the sides remain shorter for a balanced, polished, and modern look.;https://leeveostockage.s3.eu-west-3.amazonaws.com/style/mens_ultra_quiff.jpg;1;cheveux courts
mens_hairstyles;Coupes de Cheveux Masculines;20 coupes de cheveux tendance pour hommes;Slick back;homme;mens_slick_back;Cheveux plaqués en arrière avec du gel;While keeping exactly the same face without any change and maintaining the same facial expression, transform the hairstyle into a slicked back with gel style, where the hair is combed straight back and held firmly in place with gel, creating a shiny, sleek, and controlled look that emphasizes the shape of the face and jawline.;https://leeveostockage.s3.eu-west-3.amazonaws.com/style/mens_ultra_slick_back.jpg;1;cheveux courts
mens_hairstyles;Coupes de Cheveux Masculines;20 coupes de cheveux tendance pour hommes;Side part;homme;mens_side_part;Style classique avec raie sur le côté;While keeping exactly the same face without any change and maintaining the same facial expression, transform the hairstyle into a side-parted classic style, where the hair is neatly parted to one side and combed smoothly, creating a timeless, polished look that emphasizes symmetry, elegance, and refined facial framing.;https://leeveostockage.s3.eu-west-3.amazonaws.com/style/mens_ultra_side_part.jpg;1;cheveux courts
mens_hairstyles;Coupes de Cheveux Masculines;20 coupes de cheveux tendance pour hommes;Curly top;homme;mens_curly_top;Côtés courts avec boucles naturelles sur le dessus;While keeping exactly the same face without any change and maintaining the same facial expression, transform the hairstyle into a short sides with natural curls on top style.;https://leeveostockage.s3.eu-west-3.amazonaws.com/style/mens_curly_top.jpg;1;cheveux courts
mens_hairstyles;Coupes de Cheveux Masculines;20 coupes de cheveux tendance pour hommes;Messy textured;homme;mens_messy_textured;Look décoiffé texturé;While keeping exactly the same face without any change and maintaining the same facial expression, transform the hairstyle into a textured messy look style, where the hair is styled with uneven lengths and tousled layers, creating natural movement and a deliberately unkempt appearance for a casual, modern, and effortlessly stylish look.;https://leeveostockage.s3.eu-west-3.amazonaws.com/style/mens_messy_textured.jpg;1;cheveux courts
mens_hairstyles;Coupes de Cheveux Masculines;20 coupes de cheveux tendance pour hommes;Mullet;homme;mens_mullet;Mulet rétro avec devant court et arrière long;While keeping exactly the same face without any change and maintaining the same facial expression, transform the hairstyle into a retro mullet with short front and long back style, where the hair is cut short around the front and sides while left noticeably longer at the back, creating a bold, vintage-inspired look with strong contrast that emphasizes attitude and individuality.;https://leeveostockage.s3.eu-west-3.amazonaws.com/style/mens_mullet.jpg;1;cheveux longs
mens_hairstyles;Coupes de Cheveux Masculines;20 coupes de cheveux tendance pour hommes;Man bun;homme;mens_man_bun;Chignon masculin attaché;While keeping exactly the same face without any change and maintaining the same facial expression, transform the hairstyle into a tied back man bun style, where the hair is grown long and pulled back smoothly, then tied into a rounded bun at the back of the head, creating a clean, modern, and stylish look that emphasizes the facial features.;https://leeveostockage.s3.eu-west-3.amazonaws.com/style/mens_man_bun.jpg;1;cheveux longs
mens_hairstyles;Coupes de Cheveux Masculines;20 coupes de cheveux tendance pour hommes;Top knot;homme;mens_top_knot;Chignon haut avec côtés rasés;While keeping exactly the same face without any change and maintaining the same facial expression, transform the hairstyle into a top knot with undercut style, where the sides and back are shaved or clipped very short while the longer hair on top is gathered and tied into a knot at the crown, creating a bold, modern, and stylish look with strong contrast.;https://leeveostockage.s3.eu-west-3.amazonaws.com/style/mens_top_knot.jpg;1;cheveux longs
mens_hairstyles;Coupes de Cheveux Masculines;20 coupes de cheveux tendance pour hommes;French crop;homme;mens_french_crop;Coupe courte avec frange;While keeping exactly the same face without any change and maintaining the same facial expression, transform the hairstyle into a short fringe crop style, where the hair is kept very short on the sides and back with a slightly longer top, finished with a straight, blunt fringe across the forehead, creating a sharp, modern, and edgy look that highlights the eyes and facial structure.;https://leeveostockage.s3.eu-west-3.amazonaws.com/style/mens_french_crop.jpg;1;cheveux courts
mens_hairstyles;Coupes de Cheveux Masculines;20 coupes de cheveux tendance pour hommes;Long layered;homme;mens_long_layered;Cheveux mi-longs en dégradé;While keeping exactly the same face without any change and maintaining the same facial expression, transform the hairstyle into a shoulder-length layered hair style, where the hair falls to the shoulders and is cut into multiple layers of varying lengths, adding natural movement, volume, and dimension for a soft and dynamic look that frames the face beautifully.;https://leeveostockage.s3.eu-west-3.amazonaws.com/style/mens_long_layered.jpg;1;cheveux longs
mens_hairstyles;Coupes de Cheveux Masculines;20 coupes de cheveux tendance pour hommes;Cornrows;homme;mens_cornrows;Tresses collées au cuir chevelu;While keeping exactly the same face without any change and maintaining the same facial expression, transform the hairstyle into braided cornrows close to the scalp, where the hair is tightly braided in neat, parallel rows lying flat against the head, creating a sleek, defined, and culturally rich look that emphasizes precision and structure.;https://leeveostockage.s3.eu-west-3.amazonaws.com/style/mens_cornrows.jpg;1;cheveux courts
mens_hairstyles;Coupes de Cheveux Masculines;20 coupes de cheveux tendance pour hommes;Dreadlocks;homme;mens_dreadlocks;Dreadlocks longues et épaisses;WWhile keeping exactly the same face without any change and maintaining the same facial expression, transform the hairstyle into a thick long dreadlocks style, where the hair is sectioned and locked into dense, rope-like strands that flow down over the shoulders, creating a bold, textured, and natural look full of character..;https://leeveostockage.s3.eu-west-3.amazonaws.com/style/mens_dreadlocks.jpg;1;cheveux longs
mens_hairstyles;Coupes de Cheveux Masculines;20 coupes de cheveux tendance pour hommes;Spiky hair;homme;mens_spiky;Cheveux courts coiffés en pics avec du gel;While keeping exactly the same face without any change and maintaining the same facial expression, transform the hairstyle into a short and spiked with gel style, where the hair is cut short and styled upward into defined spikes using gel, creating a sharp, edgy, and energetic look that highlights the face with bold texture.;https://leeveostockage.s3.eu-west-3.amazonaws.com/style/mens_spiky.jpg;1;cheveux courts
mens_hairstyles;Coupes de Cheveux Masculines;20 coupes de cheveux tendance pour hommes;Ivy League;homme;mens_ivy_league;Coiffure chic style Ivy League;While keeping exactly the same face without any change and maintaining the same facial expression, transform the hairstyle into a preppy Ivy League style, where the hair is kept short on the sides and back while slightly longer on top, neatly combed with a subtle side part, creating a clean, polished, and sophisticated look that emphasizes elegance and refinement.;https://leeveostockage.s3.eu-west-3.amazonaws.com/style/mens_ivy_league.jpg;1;cheveux courts
